,f,$(En)diff_{ab}$,$Fi_b$,$(En)diff_{cb}$,LUMO_character,LUMO_element,$Ce_a$,$R_b$,$D_b$,$Dp_b$,$Dp_a$,$o$,$(En)diff_{ca}$,0
151,2,0.1800000000000001,540.0,1.4500000000000002,4,61,1.51,0.97,7.26,200.0,71.2,0.5271739130434783,1.27,1
152,2,0.06,596.7,1.33,2,16,1.51,0.88,9.32,144.0,71.2,0.4782608695652173,1.27,1
153,0,0.2000000000000001,650.9,1.81,3,23,4.28,0.64,6.11,87.0,62.0,0.4571428571428572,1.61,0
154,-1,0.3999999999999999,719.7,0.3000000000000002,3,45,4.39,0.67,12.4,66.0,55.0,0.3641304347826087,0.7000000000000002,1
155,0,0.07,658.8,1.9,3,22,3.39,0.765,4.54,100.0,57.8,0.5464285714285715,1.83,0
156,-1,0.8500000000000001,762.5,1.61,3,26,1.63,0.62,7.87,62.0,164.1125,0.4428571428571429,2.46,0
157,1,0.1899999999999999,534.4,1.46,4,58,1.51,1.01,6.77,205.0,71.2,0.5489130434782609,1.27,0
158,0,0.1600000000000001,578.8,0.77,2,16,1.35,0.62,5.91,50.0,38.67,0.3369565217391304,0.9300000000000002,0
159,-1,0.28,731.0,1.51,3,47,1.35,0.75,10.5,55.0,38.67,0.5357142857142857,1.79,0
160,-1,0.6599999999999999,652.9,0.9200000000000002,3,24,1.84,0.62,7.15,83.0,160.8,0.3369565217391304,1.58,0
161,-1,0.03,652.9,1.78,3,24,1.16,0.62,7.15,83.0,46.0,0.4428571428571429,1.75,0
162,2,0.1899999999999999,533.1,2.3,4,60,1.72,0.98,7.01,208.0,197.2,0.7000000000000001,2.49,0
163,0,0.03,737.1,1.53,3,27,4.39,0.6,8.91,49.0,55.0,0.4285714285714286,1.56,0
164,1,0.4199999999999999,523.5,1.31,1,48,1.16,0.86,9.84,137.0,46.0,0.467391304347826,0.8900000000000001,1
165,1,0.09,600.0,1.36,1,12,1.51,0.9,4.47,162.0,71.2,0.4891304347826087,1.27,1
166,-1,0.8500000000000001,684.3,0.4199999999999999,3,42,1.51,0.69,10.2,87.0,71.2,0.3749999999999999,1.27,0
